epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.16,0.98391,0.91443,1.00795,0.70658,0.7845,0.81023,0.6302,0.86948,0.64761,0.96489,0.000415952,0.000415952,0.000415952
2,219.86,0.94151,0.68917,0.99448,0.76204,0.73201,0.81311,0.63482,0.83507,0.62438,0.95441,0.000816133,0.000816133,0.000816133
3,318.927,0.91336,0.64965,0.98507,0.78996,0.78512,0.83324,0.65569,0.81898,0.60823,0.96535,0.00119981,0.00119981,0.00119981
4,417.076,0.88461,0.60751,0.97442,0.8237,0.80345,0.8656,0.68825,0.772,0.54141,0.94658,0.00117575,0.00117575,0.00117575
5,514.847,0.85178,0.56629,0.96293,0.85286,0.84521,0.90523,0.75317,0.73683,0.49129,0.9272,0.001151,0.001151,0.001151
6,612.928,0.82458,0.54655,0.953,0.90001,0.81018,0.92353,0.7717,0.7325,0.46769,0.92255,0.00112625,0.00112625,0.00112625
7,710.719,0.80949,0.52618,0.94773,0.88016,0.85476,0.92557,0.78307,0.72,0.45082,0.92068,0.0011015,0.0011015,0.0011015
8,808.706,0.79559,0.51036,0.9409,0.92091,0.84339,0.92968,0.78405,0.70162,0.43126,0.91322,0.00107675,0.00107675,0.00107675
9,906.711,0.78274,0.49492,0.93716,0.89942,0.8693,0.93467,0.77763,0.7213,0.44976,0.9206,0.001052,0.001052,0.001052
10,1004.25,0.77327,0.48244,0.93479,0.91426,0.8831,0.94737,0.80986,0.69741,0.41359,0.91527,0.00102725,0.00102725,0.00102725
11,1101.96,0.76273,0.47681,0.93096,0.893,0.90356,0.94402,0.8096,0.68119,0.42163,0.9082,0.0010025,0.0010025,0.0010025
12,1200,0.75861,0.46772,0.92932,0.92522,0.87223,0.94467,0.80914,0.68257,0.41154,0.90705,0.00097775,0.00097775,0.00097775
13,1297.37,0.75128,0.45795,0.92704,0.88407,0.92802,0.95216,0.83083,0.6667,0.40113,0.89962,0.000953,0.000953,0.000953
14,1394.82,0.73914,0.45195,0.92192,0.92212,0.89862,0.94696,0.82134,0.67048,0.4091,0.89907,0.00092825,0.00092825,0.00092825
15,1491.78,0.73559,0.44227,0.92042,0.93294,0.88591,0.95481,0.83491,0.65459,0.38285,0.90145,0.0009035,0.0009035,0.0009035
16,1589.43,0.7309,0.43843,0.9211,0.91453,0.9269,0.96177,0.84036,0.65515,0.37746,0.89522,0.00087875,0.00087875,0.00087875
17,1686.71,0.7222,0.43078,0.91568,0.93242,0.92899,0.96497,0.84496,0.65148,0.37478,0.89198,0.000854,0.000854,0.000854
18,1783.84,0.7189,0.4225,0.91654,0.92667,0.90393,0.95692,0.83729,0.65453,0.36851,0.89598,0.00082925,0.00082925,0.00082925
