epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.925,0.95507,0.82359,1.04215,0.82547,0.77479,0.82686,0.65312,0.83322,0.61513,1.02443,0.000415952,0.000415952,0.000415952
2,321.837,0.91823,0.6469,1.0361,0.82702,0.76718,0.82164,0.65734,0.82881,0.56854,1.02563,0.000816133,0.000816133,0.000816133
3,474.323,0.88843,0.60591,1.02583,0.81897,0.82593,0.87072,0.69629,0.79521,0.51888,1.00726,0.00119981,0.00119981,0.00119981
4,625.894,0.85544,0.56625,1.0091,0.86192,0.80277,0.88402,0.70888,0.78227,0.51787,1.00962,0.00117575,0.00117575,0.00117575
5,776.357,0.82212,0.52324,0.99649,0.87238,0.85512,0.92268,0.76911,0.72795,0.44161,0.99181,0.001151,0.001151,0.001151
6,927.581,0.79946,0.50171,0.9882,0.89148,0.84628,0.91902,0.764,0.72162,0.44247,0.97905,0.00112625,0.00112625,0.00112625
7,1079.11,0.78362,0.48331,0.98074,0.91821,0.86014,0.93801,0.80473,0.70484,0.42426,0.97636,0.0011015,0.0011015,0.0011015
8,1229.98,0.77124,0.46579,0.97485,0.91015,0.86386,0.94012,0.79698,0.68213,0.39688,0.96385,0.00107675,0.00107675,0.00107675
9,1380.34,0.75687,0.45076,0.96525,0.90457,0.89137,0.94748,0.81118,0.68925,0.39099,0.95979,0.001052,0.001052,0.001052
10,1531.1,0.7472,0.44097,0.96508,0.91885,0.89228,0.95271,0.8103,0.67279,0.37185,0.95611,0.00102725,0.00102725,0.00102725
11,1680.83,0.73909,0.43194,0.95884,0.91102,0.89596,0.95694,0.82623,0.66071,0.37639,0.9479,0.0010025,0.0010025,0.0010025
12,1831.51,0.73393,0.42345,0.96064,0.8423,0.95068,0.95915,0.82982,0.65803,0.36482,0.9592,0.00097775,0.00097775,0.00097775
13,1981.97,0.72701,0.41515,0.95553,0.90698,0.90822,0.95714,0.83398,0.65197,0.36167,0.94711,0.000953,0.000953,0.000953
14,2132.35,0.71377,0.40854,0.94906,0.9192,0.90287,0.9626,0.83615,0.65373,0.36601,0.94012,0.00092825,0.00092825,0.00092825
15,2283.55,0.71115,0.39909,0.9474,0.91532,0.90453,0.95935,0.83274,0.64705,0.34985,0.94127,0.0009035,0.0009035,0.0009035
16,2434.04,0.70769,0.39854,0.94742,0.94923,0.91407,0.97125,0.85294,0.64029,0.3363,0.94348,0.00087875,0.00087875,0.00087875
17,2584.78,0.69488,0.38543,0.94299,0.94178,0.92875,0.97586,0.85315,0.62717,0.3277,0.92801,0.000854,0.000854,0.000854
18,2734.94,0.69167,0.38042,0.94097,0.94662,0.90438,0.97004,0.84243,0.63426,0.32749,0.9352,0.00082925,0.00082925,0.00082925
19,2885.12,0.68522,0.37468,0.93878,0.9309,0.93346,0.9687,0.85839,0.62681,0.32396,0.93372,0.0008045,0.0008045,0.0008045
20,3035.88,0.68005,0.37003,0.93505,0.93694,0.94469,0.97806,0.86383,0.63557,0.32212,0.9318,0.00077975,0.00077975,0.00077975
21,3186.4,0.675,0.36651,0.93363,0.94499,0.93148,0.97498,0.86054,0.61761,0.31057,0.92556,0.000755,0.000755,0.000755
22,3336.86,0.6715,0.36548,0.93517,0.91785,0.94451,0.9766,0.86553,0.62257,0.3223,0.93167,0.00073025,0.00073025,0.00073025
23,3487.13,0.66765,0.35759,0.92888,0.94057,0.93784,0.97781,0.87009,0.61488,0.31372,0.92894,0.0007055,0.0007055,0.0007055
24,3637.18,0.65957,0.35456,0.92863,0.93625,0.93855,0.97853,0.87565,0.60176,0.30235,0.91634,0.00068075,0.00068075,0.00068075
25,3787.77,0.6552,0.34793,0.92431,0.95157,0.93727,0.98103,0.87349,0.60629,0.30592,0.92377,0.000656,0.000656,0.000656
26,3937.86,0.652,0.34465,0.92622,0.95626,0.92065,0.98174,0.87468,0.60644,0.30093,0.92161,0.00063125,0.00063125,0.00063125
27,4088.3,0.64696,0.3407,0.923,0.94465,0.94656,0.97745,0.87875,0.59515,0.30011,0.9164,0.0006065,0.0006065,0.0006065
28,4239.37,0.6423,0.3351,0.92219,0.95022,0.94859,0.97927,0.87835,0.593,0.29415,0.91818,0.00058175,0.00058175,0.00058175
29,4389.47,0.63736,0.33136,0.91653,0.94181,0.93787,0.97787,0.88082,0.58915,0.29078,0.91397,0.000557,0.000557,0.000557
30,4540.04,0.63411,0.32953,0.91641,0.96178,0.94811,0.9861,0.88652,0.59199,0.29021,0.91255,0.00053225,0.00053225,0.00053225
31,4690.21,0.62697,0.32443,0.91352,0.96089,0.94843,0.98253,0.88567,0.58212,0.28117,0.90996,0.0005075,0.0005075,0.0005075
32,4840.55,0.6239,0.32113,0.91242,0.96112,0.94897,0.98522,0.89223,0.57882,0.27801,0.90784,0.00048275,0.00048275,0.00048275
33,4991.48,0.61981,0.31725,0.9118,0.95681,0.94603,0.98404,0.88784,0.57533,0.27932,0.9057,0.000458,0.000458,0.000458
34,5141.34,0.61671,0.3149,0.9098,0.96545,0.92554,0.98067,0.88456,0.57507,0.28232,0.9051,0.00043325,0.00043325,0.00043325
35,5291.34,0.61112,0.30986,0.90615,0.95458,0.94402,0.98451,0.89163,0.57445,0.27525,0.90283,0.0004085,0.0004085,0.0004085
36,5441.16,0.60748,0.30742,0.90572,0.96689,0.94026,0.98296,0.89233,0.56731,0.26716,0.90132,0.00038375,0.00038375,0.00038375
37,5591.55,0.6006,0.3032,0.90314,0.96999,0.92893,0.98396,0.88944,0.56843,0.27313,0.89755,0.000359,0.000359,0.000359
38,5742.06,0.59687,0.30021,0.8999,0.95773,0.95099,0.98234,0.8932,0.56234,0.26885,0.89752,0.00033425,0.00033425,0.00033425
39,5892.73,0.59222,0.29553,0.89916,0.96591,0.95154,0.98587,0.89296,0.56511,0.26688,0.90041,0.0003095,0.0003095,0.0003095
